"고유번호","읍면동코드","읍면동명","읍면동영문명","위도","경도"
"76","11140108","수하동","Suha-dong","37.5674173","126.984642"
"84","11140102","다동","Da-dong","37.5678826","126.9811936"
"85","11230107","청량리동","Cheongnyangni-dong","37.5883148","127.0460899"
"86","11230110","이문동","Imun-dong","37.5994013","127.0624708"
"87","11260106","신내동","Sinnae-dong","37.6102524","127.1011551"
"88","11110156","종로3가","Jongno 3(sam)-ga","37.5703825","126.9923929"
"92","11110145","송현동","Songhyeon-dong","37.5770464","126.9819269"
"97","11215109","군자동","Gunja-dong","37.5532424","127.0734923"
"5","11170105","남영동","Namyeong-dong","37.5428503","126.9733899"
"8","11140110","수표동","Supyo-dong","37.5674664","126.9894371"
"9","11140164","무학동","Muhak-dong","37.5642292","127.0152228"
"101","11470101","신정동","Sinjeong-dong","37.5163358","126.8530247"
"10","11140106","남대문로1가","Namdaemunno 1(il)-ga","37.5675948","126.9831121"
"19","11650104","원지동","Wonji-dong","37.4449934","127.049594"
"20","11410102","충정로3가","Chungjeongno 3(sam)-ga","37.5622877","126.9621679"
"12","11110114","내자동","Naeja-dong","37.575276","126.971827"
"13","11110102","신교동","Singyo-dong","37.584442","126.9676997"
"15","11650103","우면동","Umyeon-dong","37.4660631","127.0178628"
"16","11170118","원효로4가","Wonhyoro 4(sa)-ga","37.532933","126.9506456"
"17","11140130","남산동3가","Namsan-dong 3(sam)-ga","37.5600001","126.9873836"
"1","11230104","전농동","Jeonnong-dong","37.5802851","127.0556709"
"2","11230109","휘경동","Hwigyeong-dong","37.5881848","127.0643272"
"3","11320107","창동","Chang-dong","37.6463131","127.04338"
"4","11140162","신당동","Sindang-dong","37.556819","127.0154305"
"6","11200102","하왕십리동","Hawangsimni-dong","37.5643661","127.0285933"
"7","11305101","미아동","Mia-dong","37.6219876","127.0235677"
"11","11140123","회현동3가","Hoehyeon-dong 3(sam)-ga","37.560059","126.9840941"
"14","11110123","서린동","Seorin-dong","37.569505","126.9803078"
"18","11140109","장교동","Janggyo-dong","37.5674834","126.9870578"
"23","11140144","장충동2가","Jangchung-dong 2(i)-ga","37.55526","127.0003341"
"25","11140141","주자동","Juja-dong","37.5606513","126.989397"
"27","11140101","무교동","Mugyo-dong","37.5680651","126.9788674"
"29","11215103","구의동","Guui-dong","37.5436014","127.0931657"
"30","11350103","공릉동","Gongneung-dong","37.6304774","127.0884816"
"31","11110153","돈의동","Donui-dong","37.5720312","126.9906468"
"44","11110125","중학동","Junghak-dong","37.575195","126.9799523"
"45","11110107","적선동","Jeokseon-dong","37.5752845","126.9739369"
"48","11110126","종로1가","Jongno 1(il)-ga","37.5706982","126.980334"
"55","11110116","도렴동","Doryeom-dong","37.5727248","126.9746762"
"56","11110142","소격동","Sogyeok-dong","37.5797855","126.981012"
"65","11410112","대현동","Daehyeon-dong","37.5613992","126.9453104"
"73","11650110","염곡동","Yeomgok-dong","37.4631455","127.0527369"
"36","11170111","청파동3가","Cheongpa-dong 3(sam)-ga","37.5433004","126.9666026"
"37","11260103","중화동","Junghwa-dong","37.600464","127.0784467"
"43","11410108","영천동","Yeongcheon-dong","37.5701581","126.9583199"
"38","11260104","묵동","Muk-dong","37.6125348","127.0803388"
"39","11260105","망우동","Mangu-dong","37.6003767","127.1056492"
"40","11410105","냉천동","Naengcheon-dong","37.5674955","126.9620152"
"41","11170117","원효로3가","Wonhyoro 3(sam)-ga","37.5343201","126.9577323"
"42","11650107","반포동","Banpo-dong","37.5045831","127.0021767"
"46","11110144","사간동","Sagan-dong","37.5772363","126.9805779"
"47","11410104","미근동","Migeun-dong","37.5635697","126.9673972"
"49","11410110","북아현동","Bugahyeon-dong","37.5636974","126.9549002"
"50","11410111","홍제동","Hongje-dong","37.5873266","126.94728"
"51","11170119","효창동","Hyochang-dong","37.543576","126.9607221"
"52","11650109","내곡동","Naegok-dong","37.4583407","127.0770851"
"21","11260101","면목동","Myeonmok-dong","37.5819253","127.0902095"
"22","11260102","상봉동","Sangbong-dong","37.6001601","127.0832212"
"24","11110124","수송동","Susong-dong","37.5738606","126.9805797"
"26","11170120","도원동","Dowon-dong","37.538784","126.9562609"
"28","11110104","효자동","Hyoja-dong","37.5827038","126.9718981"
"32","11110151","묘동","Myo-dong","37.5725522","126.9918438"
"33","11110121","신문로2가","Sinmunno 2(i)-ga","37.5710316","126.9692509"
"34","11650101","방배동","Bangbae-dong","37.4790075","126.9959104"
"35","11650102","양재동","Yangjae-dong","37.468455","127.0362466"
"59","11320108","도봉동","Dobong-dong","37.6852416","127.0298657"
"61","11140104","을지로1가","Euljiro 1(il)-ga","37.5659055","126.9805717"
"62","11170113","원효로2가","Wonhyoro 2(i)-ga","37.5363505","126.9634639"
"63","11170115","산천동","Sancheon-dong","37.5357089","126.9515061"
"64","11410109","현저동","Hyeonjeo-dong","37.5741171","126.9547307"
"70","11110168","동숭동","Dongsung-dong","37.58161","127.0051704"
"71","11170112","원효로1가","Wonhyoro 1(iI)-ga","37.5399032","126.9675517"
"72","11410106","천연동","Cheonyeon-dong","37.5678141","126.9597564"
"74","11110128","관훈동","Gwanhun-dong","37.5741579","126.9847959"
"75","11110129","견지동","Gyeonji-dong","37.5737344","126.9830947"
"77","11140115","남대문로2가","Namdaemunno 2(i)-ga","37.5638636","126.9820397"
"78","11110141","안국동","Anguk-dong","37.5774765","126.9838446"
"79","11140117","남대문로4가","Namdaemunno 4(sa)-ga","37.5606911","126.9755026"
"80","11140103","태평로1가","Taepyeongno 1(il)-ga","37.5675677","126.9773826"
"81","11650111","신원동","Sinwon-dong","37.4451504","127.0596521"
"66","11410101","충정로2가","Chungjeongno 2(i)-ga","37.5649689","126.9639845"
"67","11200108","응봉동","Eungbong-dong","37.5505366","127.0348586"
"68","11650106","잠원동","Jamwon-dong","37.5153035","127.0093893"
"69","11110146","가회동","Gahoe-dong","37.5828064","126.9848647"
"53","11170125","한강로2가","Hangangno 2(i)-ga","37.5312807","126.9686035"
"54","11170130","이태원동","Itaewon-dong","37.538862","126.9922782"
"60","11200118","송정동","Songjeong-dong","37.5541037","127.0621614"
"57","11170128","한강로3가","Hangangno 3(sam)-ga","37.5280446","126.9632299"
"58","11170129","이촌동","Ichon-dong","37.5188354","126.9651352"
"128","11170114","신창동","Sinchang-dong","37.5358397","126.9549627"
"134","11140107","삼각동","Samgak-dong","37.5679302","126.9847933"
"142","11140116","남대문로3가","Namdaemunno 3(sam)-ga","37.5616684","126.9794385"
"146","11110122","청진동","Cheongjin-dong","37.5715373","126.9802938"
"152","11110143","화동","Hwa-dong","37.5806863","126.9826101"
"162","11110171","명륜2가","Myeongnyun 2(i)-ga","37.5846181","126.9991752"
"170","11110106","통의동","Tongui-dong","37.5779984","126.9727225"
"174","11110157","인의동","Inui-dong","37.5726289","126.9980205"
"183","11110170","명륜1가","Myeongnyun 1(il)-ga","37.5889535","126.9974079"
"188","11140113","북창동","Bukchang-dong","37.5624854","126.9782509"
"100","11110133","익선동","Ikseon-dong","37.574232","126.9897103"
"103","11140122","회현동2가","Hoehyeon-dong 2(i)-ga","37.5585169","126.9827612"
"104","11200107","행당동","Haengdang-dong","37.5591737","127.0352497"
"203","11140157","산림동","Sallim-dong","37.5676122","126.9961709"
"105","11200109","금호동1가","Geumho-dong 1(il)-ga","37.5530419","127.0213783"
"106","11110148","계동","Gye-dong","37.5829045","126.9868772"
"109","11110154","장사동","Jangsa-dong","37.5692358","126.9942544"
"108","11140132","충무로4가","Chungmuro 4(sa)-ga","37.5623108","126.995975"
"110","11110158","예지동","Yeji -dong","37.5695052","126.9984621"
"111","11140131","저동1가","Jeo-dong 1(il)-ga","37.5642498","126.9878913"
"112","11140105","을지로2가","Euljiro 2(i)-ga","37.5657158","126.986263"
"82","11110130","와룡동","Waryong-dong","37.5809142","126.9927443"
"83","11305104","우이동","Ui-dong","37.6632405","126.9992181"
"89","11140120","봉래동2가","Bongnae-dong 2(i)-ga","37.5567475","126.9713413"
"90","11110152","봉익동","Bongik-dong","37.572373","126.9930161"
"91","11110108","통인동","Tongin-dong","37.5798178","126.9700651"
"93","11110105","창성동","Changseong-dong","37.580573","126.9723675"
"94","11140133","충무로5가","Chungmuro 5(o)-ga","37.5625808","126.9995908"
"95","11170134","주성동","Juseong-dong","37.5215716","127.0002868"
"96","11140159","초동","Cho-dong","37.564601","126.9923477"
"98","11440107","마포동","Mapo-dong","37.536882","126.943622"
"99","11110127","공평동","Gongpyeong-dong","37.5713261","126.9832335"
"102","11470102","목동","Mok-dong","37.5367323","126.8764165"
"107","11110138","종로2가","Jongno 2(i)-ga","37.5707645","126.9863062"
"118","11110120","신문로1가","Sinmunno 1(il)-ga","37.5703732","126.9740722"
"121","11200115","성수동2가","Seongsu-dong 2(i)-ga","37.5407489","127.0571063"
"122","11320106","방학동","Banghak-dong","37.6646494","127.0334847"
"123","11350102","월계동","Wolgye-dong","37.6295557","127.0562532"
"129","11140136","묵정동","Mukjeong-dong","37.5614488","127.0005452"
"130","11140149","을지로7가","Euljiro 7(chil)-ga","37.566416","127.0095181"
"131","11140156","입정동","Ipjeong-dong","37.5677264","126.992771"
"132","11140172","의주로2가","Uijuro 2(i)-ga","37.5606655","126.9695132"
"133","11140173","만리동1가","Malli-dong 1(il)-ga","37.5558883","126.9669832"
"135","11140150","을지로4가","Euljiro 4(sa)-ga","37.566393","126.9977069"
"136","11140167","정동","Jeong-dong","37.5661453","126.9733062"
"137","11110155","관수동","Gwansu-dong","37.5690609","126.9904495"
"138","11200101","상왕십리동","Sangwangsimni-dong","37.5684665","127.0255499"
"139","11170122","문배동","Munbae-dong","37.5371288","126.9690034"
"140","11170123","신계동","Singye-dong","37.535453","126.9646994"
"141","11170126","용산동3가","Yongsan-dong 3(sam)-ga","37.5321655","126.9762897"
"124","11110173","명륜3가","Myeongnyun 3(sam)-ga","37.5873096","126.9930707"
"125","11140170","충정로1가","Chungjeongno 1(il)-ga","37.5668791","126.9680884"
"126","11140119","봉래동1가","Bongnae-dong 1(il)-ga","37.5589096","126.9729614"
"127","11110101","청운동","Cheongun-dong","37.5890286","126.9685157"
"113","11140111","소공동","Sogong-dong","37.5638976","126.9799891"
"114","11170121","용문동","Yongmun-dong","37.5377219","126.9597098"
"115","11650108","서초동","Seocho-dong","37.4885178","127.0171248"
"119","11410103","합동","Hap-dong","37.5613616","126.9662486"
"116","11170124","한강로1가","Hangangno 1(il)-ga","37.5358426","126.9730991"
"117","11170132","동빙고동","Dongbinggo-dong","37.5235803","126.995177"
"120","11200114","성수동1가","Seongsu-dong 1(il)-ga","37.5431193","127.0416554"
"151","11170135","용산동6가","Yongsan-dong 6(yuk)-ga","37.5168611","126.9842128"
"153","11170136","보광동","Bogwang-dong","37.5268849","127.0017003"
"154","11140138","필동2가","Pildong 2(i)-ga","37.5577913","126.9949767"
"155","11140139","필동3가","Pil-dong 3(sam)-ga","37.5577553","126.9973738"
"156","11140142","예장동","Yejang-dong","37.5551793","126.9897761"
"157","11200105","마장동","Majang-dong","37.5670762","127.0407445"
"158","11110161","종로4가","Jongno 4(sa)-ga","37.5706899","126.9979792"
"159","11305102","번동","Beon-dong","37.6292269","127.036379"
"160","11140125","충무로2가","Chungmuro 2(i)-ga","37.5617555","126.9877459"
"161","11140126","명동1가","Myeong-dong 1(il)-ga","37.5644525","126.9844713"
"163","11110176","교남동","Gyonam-dong","37.5684349","126.9644739"
"164","11110135","관철동","Gwancheol-dong","37.5691978","126.9859065"
"165","11110136","인사동","Insa-dong","37.5720605","126.9859554"
"166","11110137","낙원동","Nagwon-dong","37.5725546","126.9886246"
"167","11140124","충무로1가","Chungmuro 1(il)-ga","37.5610267","126.9826398"
"143","11140118","남대문로5가","Namdaemunno 5(o)-ga","37.5563671","126.9763016"
"144","11320105","쌍문동","Ssangmun-dong","37.6525541","127.0273717"
"145","11200113","옥수동","Oksu-dong","37.5420259","127.0219996"
"147","11110140","삼청동","Samcheong-dong","37.5898785","126.9813798"
"148","11140121","회현동1가","Hoehyeon-dong 1(il)-ga","37.5571575","126.9816994"
"149","11140161","저동2가","Jeo-dong 2(i)-ga","37.5643088","126.9899006"
"150","11170131","한남동","Hannam-dong","37.5374384","127.0060971"
"178","11140135","예관동","Yegwan-dong","37.5640814","126.9980377"
"179","11110174","창신동","Changsin-dong","37.5760033","127.0135246"
"180","11200122","용답동","Yongdap-dong","37.5624296","127.0550851"
"181","11215105","자양동","Jayang-dong","37.5323755","127.0744811"
"182","11110175","숭인동","Sungin-dong","37.5766752","127.0190652"
"184","11560122","문래동4가","Mullae-dong 4(sa)-ga","37.5144685","126.8901537"
"191","11110139","팔판동","Palpan-dong","37.5827295","126.9805795"
"192","11200110","금호동2가","Geumho-dong 2(i)-ga","37.5525166","127.0217884"
"193","11110149","원서동","Wonseo-dong","37.5841834","126.9880867"
"194","11140114","태평로2가","Taepyeongno 2(i)-ga","37.5632359","126.9764068"
"195","11110103","궁정동","Gungjeong-dong","37.5849071","126.9724095"
"196","11110182","구기동","Gugi-dong","37.6179518","126.9621624"
"197","11110183","평창동","Pyeongchang-dong","37.6139675","126.9743016"
"204","11110117","당주동","Dangju-dong","37.5715788","126.9738252"
"185","11140128","남산동1가","Namsan-dong 1(il)-ga","37.5591789","126.9847188"
"186","11200112","금호동4가","Geumho-dong 4(sa)-ga","37.5452026","127.0229976"
"187","11140112","남창동","Namchang-dong","37.5580671","126.9775968"
"189","11170127","용산동5가","Yongsan-dong 5(o)-ga","37.5256032","126.9740049"
"190","11110132","운니동","Unni-dong","37.576392","126.9883159"
"168","11140127","명동2가","Myeong-dong 2(i)-ga","37.5630105","126.9852881"
"169","11140134","인현동2가","Inhyeon-dong 2(i)-ga","37.5641432","126.9962711"
"171","11110115","사직동","Sajik-dong","37.5753838","126.9658263"
"172","11110169","혜화동","Hyehwa-dong","37.587822","127.0023228"
"173","11110150","훈정동","Hunjeong-dong","37.5742191","126.9940707"
"175","11110131","권농동","Gwonnong-dong","37.576109","126.9917564"
"176","11110134","경운동","Gyeongun-dong","37.5752459","126.9864008"
"177","11140129","남산동2가","Namsan-dong 2(i)-ga","37.5583248","126.9858848"
"199","11170101","후암동","Huam-dong","37.5503851","126.9805049"
"201","11170102","용산동2가","yongsan-dong  2(i)-ga","37.5430767","126.9858631"
"205","11140140","남학동","Namhak-dong","37.5605244","126.9909105"
"202","11230102","용두동","Yongdu-dong","37.5762335","127.0348716"
"206","11200111","금호동3가","Geumho-dong 3(sam)-ga","37.5499287","127.0195552"
"207","11140152","주교동","Jugyo-dong","37.5682735","126.998942"
"208","11440105","용강동","Yonggang-dong","37.5412882","126.9404514"
"209","11440112","현석동","Hyeonseok-dong","37.5422601","126.9345406"
"210","11110178","송월동","Songwol-dong","37.5701811","126.9653066"
"212","11140158","충무로3가","Chungmuro 3(sam)-ga","37.5622482","126.9919612"
"214","11110118","내수동","Naesu-dong","37.5733668","126.9721015"
"217","11230106","장안동","Jangan-dong","37.5711171","127.0674265"
"218","11215101","중곡동","Junggok-dong","37.5630636","127.0883253"
"219","11215102","능동","Neung-dong","37.5511328","127.0818921"
"220","11350105","상계동","Sanggye-dong","37.6664734","127.0723253"
"222","11230105","답십리동","Dapsipni-dong","37.5699332","127.0551216"
"198","11140171","중림동","Jungnim-dong","37.5591646","126.9655627"
"211","11110172","명륜4가","Myeongnyun 4(sa)-ga","37.5823905","126.999806"
"213","11680108","논현동","Nonhyeon-dong","37.5138347","127.0317062"
"215","11290103","돈암동","Donam-dong","37.5971818","127.0178324"
"216","11500112","오곡동","Ogok-dong","37.5534112","126.7831642"
"221","11140169","의주로1가","Uijuro 1(il)-ga","37.5637065","126.9684915"
"227","11140137","필동1가","Pil-dong 1(il)-ga","37.561147","126.9924128"
"239","11110159","원남동","Wonnam-dong","37.575484","126.9976454"
"247","11140168","순화동","Sunhwa-dong","37.5623459","126.9708088"
"252","11110162","효제동","Hyoje-dong","37.5733424","127.0034706"
"260","11110165","이화동","Ihwa-dong","37.5773254","127.0054705"
"273","11110167","충신동","Chungsin-dong","37.574766","127.0059174"
"279","11140163","흥인동","Heungin-dong","37.5676493","127.0160091"
"285","11560113","당산동3가","Dangsan-dong 3(sam)-ga","37.526241","126.8974284"
"286","11530102","구로동","Guro-dong","37.4937929","126.8849584"
"289","11710105","석촌동","Seokchon-dong","37.502828","127.1041069"
"291","11545103","시흥동","Siheung-dong","37.4497033","126.9106965"
"292","11560117","당산동","Dangsan-dong","37.534892","126.9024679"
"293","11410119","북가좌동","Bukgajwa-dong","37.5791085","126.9117177"
"294","11560132","신길동","Singil-dong","37.5058261","126.9126514"
